FIPS,State,County,GROC11,GROC16,PCH_GROC_11_16,GROCPTH11,GROCPTH16,PCH_GROCPTH_11_16,SUPERC11,SUPERC16,PCH_SUPERC_11_16,SUPERCPTH11,SUPERCPTH16,PCH_SUPERCPTH_11_16,CONVS11,CONVS16,PCH_CONVS_11_16,CONVSPTH11,CONVSPTH16,PCH_CONVSPTH_11_16,SPECS11,SPECS16,PCH_SPECS_11_16,SPECSPTH11,SPECSPTH16,PCH_SPECSPTH_11_16,SNAPS12,SNAPS17,PCH_SNAPS_12_17,SNAPSPTH12,SNAPSPTH17,PCH_SNAPSPTH_12_17,WICS11,WICS16,PCH_WICS_11_16,WICSPTH11,WICSPTH16,PCH_WICSPTH_11_16
01001,AL,Autauga,5,3,-40,0.090581351,0.0542711,-40.0857484,1,1,0,0.0181163,0.0180904,-0.142913998,31,31,0,0.561604377,0.560801766,-0.142913998,1,1,0,0.0181163,0.0180904,-0.142913998,37.41666667,44.66666667,19.37639198,0.674004155,0.804746805,19.39789969,5,5,0,0.090566583,0.090510845,-0.061543442
01003,AL,Baldwin,27,29,7.407407407,0.14474573,0.139752975,-3.449328302,6,7,16.66666667,0.0321657,0.0337335,4.874005465,107,118,10.28037383,0.573621967,0.568650034,-0.866761189,20,27,35,0.107219059,0.130114838,21.35420632,138.3333333,189.4166667,36.92771084,0.725055471,0.890835951,22.86452373,26,28,7.692307472,0.139380291,0.134802029,-3.284727335
01005,AL,Barbour,6,4,-33.33333333,0.219370407,0.155195158,-29.25428727,0,1,,0,0.0387988,,22,19,-13.63636364,0.804358159,0.737177,-8.352144868,3,2,-33.33333333,0.109685203,0.077597579,-29.25428727,34.83333333,36,3.349282297,1.280590174,1.424614167,11.24668887,7,6,-14.28571415,0.25594151,0.232387006,-9.203081131
01007,AL,Bibb,6,5,-16.66666667,0.26379424,0.220916361,-16.25428946,1,1,0,0.0439657,0.0441833,0.494852649,19,15,-21.05263158,0.835348428,0.662749083,-20.66195844,0,0,0,0,0,0,16.25,18.16666667,11.79487179,0.719122007,0.801423446,11.4447114,6,5,-16.66666603,0.263771057,0.221474126,-16.03547096
01009,AL,Blount,7,5,-28.57142857,0.121608005,0.086862861,-28.57142857,1,1,0,0.0173726,0.0173726,0,30,27,-10,0.521177165,0.469059449,-10,1,0,-100,0.0173726,0,-100,38,40.16666667,5.701754386,0.657143845,0.692373548,5.361033719,8,8,0,0.138999894,0.139089316,0.064332329
01011,AL,Bullock,2,3,50,0.18735363,0.2873288,53.36174696,0,0,0,0,0,0,2,6,200,0.18735363,0.5746576,206.7234939,1,0,-100,0.093676815,0,-100,14.33333333,10.16666667,-29.06976744,1.368467952,0.986193294,-27.93449842,2,3,50,0.187318534,0.288989514,54.27705383
01013,AL,Butler,3,3,0,0.143678161,0.15026296,4.583020285,1,1,0,0.0478927,0.0500877,4.583020285,22,22,0,1.053639847,1.101928375,4.583020285,0,0,0,0,0,0,27.25,24.91666667,-8.562691131,1.341901807,1.256830601,-6.33959994,4,4,0,0.191589236,0.199710414,4.238848686
01015,AL,Calhoun,24,27,12.5,0.20376109,0.234823448,15.24449904,3,4,33.33333333,0.0254701,0.0347887,36.58607294,87,84,-3.448275862,0.738633952,0.730561837,-1.092843733,2,1,-50,0.0169801,0.0086972,-48.78022265,137.9166667,136,-1.389728097,1.175800255,1.185412454,0.81750273,19,20,5.263157845,0.16129443,0.173885822,7.806464195
01017,AL,Chambers,8,7,-12.5,0.23507978,0.207610404,-11.68512916,1,1,0,0.029385,0.0296586,0.931280956,26,22,-15.38461539,0.764009286,0.652489842,-14.59660842,1,1,0,0.029385,0.0296586,0.931280956,34.25,35.66666667,4.136253041,1.00546031,1.05794995,5.220458684,6,6,0,0.17631501,0.17766723,0.766934574
01019,AL,Cherokee,4,5,25,0.153887585,0.19405418,26.10125747,1,1,0,0.0384719,0.0388108,0.881005977,17,18,5.882352941,0.654022237,0.698595048,6.815182799,1,0,-100,0.0384719,0,-100,31,27.41666667,-11.55913978,1.191345452,1.060318934,-10.99819687,6,4,-33.33333206,0.230822504,0.155183122,-32.76950073
