State,RPP
AK,104.43
AL,90.259
AR,89.827
AZ,97.901
CA,109.260
CO,102.731
CT,106.393
DE,98.475
FL,101.517
GA,95.059
HI,111.41
IA,89.866
ID,94.44
IL,99.155
IN,92.239
KS,93.406
KY,90.873
LA,93.996
MA,104.505
MD,107.715
ME,95.748
MI,93.809
MN,97.432
MO,92.967
MS,89.178
MT,96.444
NC,93.925
ND,92.781
NE,92.259
NH,102.462
NJ,109.02
NM,94.613
NV,98.649
NY,109.478
OH,92.396
OK,92.065
OR,100.191
PA,98.282
RI,100.893
SC,93.74
SD,89.181
TN,93.131
TX,98.89
UT,97.647
VA,103.761
VT,100.081
WA,103.411
WI,93.502
WV,91.005
WY,97.863
