State,County,Fast_food_2011,Fast_food_2016,Fast_food_per_1000_2011,Fast_food_per_1000_2016,Fast_food_expenditures_per_capita_2012
AL,Autauga,34,44,0.615953188,0.7959767,674.8027204
AL,Baldwin,121,156,0.648675309,0.751774622,674.8027204
AL,Barbour,19,23,0.694672955,0.892372158,674.8027204
AL,Bibb,6,7,0.26379424,0.309282905,674.8027204
AL,Blount,20,23,0.347451444,0.39956916,674.8027204
AL,Bullock,4,3,0.37470726,0.2873288,674.8027204
AL,Butler,17,18,0.814176245,0.901577761,674.8027204
AL,Calhoun,91,95,0.772594133,0.826230649,674.8027204
AL,Chambers,23,29,0.675854368,0.860100246,674.8027204
AL,Cherokee,17,15,0.654022237,0.58216254,674.8027204
AL,Chilton,21,22,0.480681194,0.501939311,674.8027204
AL,Choctaw,6,6,0.440949511,0.459770115,674.8027204
AL,Clarke,24,25,0.938159643,1.026694045,674.8027204
AL,Clay,4,4,0.292226768,0.298284862,674.8027204
AL,Cleburne,8,5,0.535905681,0.336179654,674.8027204
AL,Coffee,36,40,0.71380418,0.780990687,674.8027204
AL,Colbert,48,53,0.880184839,0.97557384,674.8027204
AL,Conecuh,3,7,0.227496777,0.559328805,674.8027204
AL,Coosa,0,1,0.0,0.092515496,674.8027204
AL,Covington,23,27,0.604992503,0.722195474,674.8027204
AL,Crenshaw,4,8,0.287811196,0.575249874,674.8027204
AL,Cullman,52,63,0.646677693,0.765287529,674.8027204
AL,Dale,32,35,0.638633325,0.710977492,674.8027204
AL,Dallas,20,25,0.462363603,0.623736933,674.8027204
AL,DeKalb,39,40,0.54657828,0.561671534,674.8027204
AL,Elmore,32,39,0.399970002,0.480059084,674.8027204
AL,Escambia,23,28,0.602062719,0.747144839,674.8027204
AL,Etowah,76,85,0.728290243,0.82744388,674.8027204
AL,Fayette,15,13,0.879765396,0.786068448,674.8027204
AL,Franklin,17,17,0.535146536,0.538366533,674.8027204
AL,Geneva,11,10,0.411061286,0.377130789,674.8027204
AL,Greene,0,2,0.0,0.235626767,674.8027204
AL,Hale,4,10,0.26045058,0.673536741,674.8027204
AL,Henry,10,13,0.575506446,0.76058975,674.8027204
AL,Houston,91,116,0.888082133,1.113532297,674.8027204
AL,Jackson,30,32,0.563782605,0.61480528,674.8027204
AL,Jefferson,605,709,0.919747822,1.074654375,674.8027204
AL,Lamar,5,6,0.349968503,0.430138361,674.8027204
AL,Lauderdale,68,71,0.734317463,0.769072455,674.8027204
AL,Lawrence,18,15,0.528680941,0.451372171,674.8027204
AL,Lee,107,145,0.742452313,0.9120472,674.8027204
AL,Limestone,40,52,0.467672162,0.55962118,674.8027204
AL,Lowndes,1,1,0.08984726,0.097646714,674.8027204
AL,Macon,11,9,0.516820147,0.471895973,674.8027204
AL,Madison,300,333,0.88360298,0.934574193,674.8027204
AL,Marengo,14,18,0.677998935,0.922840297,674.8027204
AL,Marion,23,19,0.75040783,0.634984292,674.8027204
AL,Marshall,70,80,0.745553307,0.841724272,674.8027204
AL,Mobile,257,276,0.621926666,0.665297504,674.8027204
AL,Monroe,10,10,0.438596491,0.463563879,674.8027204
AL,Montgomery,175,218,0.763651914,0.961555426,674.8027204
AL,Morgan,97,90,0.808286183,0.757454616,674.8027204
AL,Perry,2,2,0.190985485,0.208986416,674.8027204
AL,Pickens,6,7,0.310013434,0.344572976,674.8027204
AL,Pike,27,34,0.819000819,1.0236339,674.8027204
AL,Randolph,9,10,0.395778364,0.444483954,674.8027204
AL,Russell,43,48,0.784199296,0.825068326,674.8027204
AL,St. Clair,46,55,0.546246927,0.628700761,674.8027204
AL,Shelby,136,162,0.687267858,0.767506976,674.8027204
AL,Sumter,7,8,0.518864428,0.618620476,674.8027204
AL,Talladega,46,50,0.562402191,0.621998856,674.8027204
