State,County,Grocery_2011,Grocery_2016,Grocery_per_1000_2011,Grocery_per_1000_2016,Supercenter_2011,Supercenter_2016,Supercenter_per_1000_2011,Supercenter_per_1000_2016,Combined_Grocery_2011,Combined_Grocery_2016,Combined_per_1000_2011,Combined_per_1000_2016
AL,Autauga,5,3,0.090581351,0.0542711,1,1,0.0181163,0.0180904,6,4,0.108697651,0.0723615
AL,Baldwin,27,29,0.14474573,0.139752975,6,7,0.0321657,0.0337335,33,36,0.17691142999999998,0.173486475
AL,Barbour,6,4,0.219370407,0.155195158,0,1,0.0,0.0387988,6,5,0.219370407,0.193993958
AL,Bibb,6,5,0.26379424,0.220916361,1,1,0.0439657,0.0441833,7,6,0.30775994,0.265099661
AL,Blount,7,5,0.121608005,0.086862861,1,1,0.0173726,0.0173726,8,6,0.138980605,0.104235461
AL,Bullock,2,3,0.18735363,0.2873288,0,0,0.0,0.0,2,3,0.18735363,0.2873288
AL,Butler,3,3,0.143678161,0.15026296,1,1,0.0478927,0.0500877,4,4,0.191570861,0.20035066
AL,Calhoun,24,27,0.20376109,0.234823448,3,4,0.0254701,0.0347887,27,31,0.22923119,0.269612148
AL,Chambers,8,7,0.23507978,0.207610404,1,1,0.029385,0.0296586,9,8,0.26446478,0.237269004
AL,Cherokee,4,5,0.153887585,0.19405418,1,1,0.0384719,0.0388108,5,6,0.192359485,0.23286498
AL,Chilton,7,5,0.160227065,0.114077116,1,1,0.0228896,0.0228154,8,6,0.183116665,0.13689251600000002
AL,Choctaw,3,3,0.220474756,0.229885057,0,0,0.0,0.0,3,3,0.220474756,0.229885057
AL,Clarke,5,6,0.195449926,0.246406571,2,2,0.07817997,0.082135524,7,8,0.273629896,0.328542095
AL,Clay,3,3,0.219170076,0.223713647,0,0,0.0,0.0,3,3,0.219170076,0.223713647
AL,Cleburne,3,2,0.20096463,0.134471862,0,0,0.0,0.0,3,2,0.20096463,0.134471862
AL,Coffee,5,7,0.099139469,0.13667337,1,1,0.0198279,0.0195248,6,8,0.11896736899999999,0.15619817
AL,Colbert,10,8,0.183371841,0.147256429,1,1,0.0183372,0.0184071,11,9,0.201709041,0.165663529
AL,Conecuh,5,1,0.379161295,0.079904115,0,0,0.0,0.0,5,1,0.379161295,0.079904115
AL,Coosa,0,1,0.0,0.092515496,0,0,0.0,0.0,0,1,0.0,0.092515496
AL,Covington,9,6,0.236736197,0.160487883,1,1,0.026304,0.026748,10,7,0.26304019700000003,0.187235883
AL,Crenshaw,6,4,0.431716794,0.287624937,0,0,0.0,0.0,6,4,0.431716794,0.287624937
AL,Cullman,13,15,0.161669423,0.182211317,1,2,0.0124361,0.0242948,14,17,0.174105523,0.20650611700000002
AL,Dale,8,6,0.159658331,0.121881856,1,1,0.0199573,0.0203136,9,7,0.179615631,0.142195456
AL,Dallas,8,8,0.184945441,0.199595818,1,1,0.0231182,0.0249495,9,9,0.208063641,0.224545318
AL,DeKalb,14,16,0.196207588,0.224668614,1,1,0.0140148,0.0140418,15,17,0.21022238799999998,0.23871041399999998
AL,Elmore,7,8,0.087493438,0.098473658,2,2,0.0249981,0.0246184,9,10,0.112491538,0.123092058
AL,Escambia,6,4,0.15705984,0.106734977,0,2,0.0,0.0533675,6,6,0.15705984,0.160102477
AL,Etowah,17,14,0.162907028,0.136284874,2,2,0.0191655,0.0194693,19,16,0.182072528,0.155754174
AL,Fayette,7,4,0.410557185,0.241867215,1,1,0.058651,0.0604668,8,5,0.469208185,0.302334015
AL,Franklin,6,10,0.188875248,0.316686196,1,1,0.0314792,0.0316686,7,11,0.22035444799999998,0.34835479599999997
AL,Geneva,11,10,0.411061286,0.377130789,0,0,0.0,0.0,11,10,0.411061286,0.377130789
